agency_full,#_of_agencies,population,crime_type,YTD,PrevYTD,Percent_Change,YTD_Range,Last Updated
"Amarillo, Texas",1,201684,"Murders",7,10,-30.00%,"Jan - Aug 2025",2025-12-16 15:08:46 EST
"Brockton, Massachusetts",1,108938,"Murders",7,7,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"El Paso County, Texas",1,116599,"Murders",7,7,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Gilbert, Arizona",1,278495,"Murders",7,1,600.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Greenville, North Carolina",1,90048,"Murders",7,8,-12.50%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Gresham, Oregon",1,110225,"Murders",7,5,40.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Hayward, California",1,153914,"Murders",7,11,-36.36%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Honolulu, Hawaii",1,987546,"Murders",7,24,-70.83%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Independence, Missouri",1,120326,"Murders",7,8,-12.50%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Lynchburg, Virginia",1,79509,"Murders",7,9,-22.22%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Mckinney, Texas",1,212716,"Murders",7,2,250.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Pomona, California",1,143578,"Murders",7,11,-36.36%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"South Bend, Indiana",1,102999,"Murders",7,8,-12.50%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Spokane, Washington",1,230648,"Murders",7,14,-50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Springfield, Missouri",1,170521,"Murders",7,8,-12.50%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Victoria, Texas",1,65298,"Murders",7,1,600.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Waco, Texas",1,145741,"Murders",7,8,-12.50%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Warner Robins, Georgia",1,82991,"Murders",7,4,75.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Williamson County, Texas",1,202897,"Murders",7,3,133.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Wilmington, North Carolina",1,122675,"Murders",7,6,16.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Yakima, Washington",1,96991,"Murders",7,11,-36.36%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Aiken County, South Carolina",1,110756,"Murders",6,6,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Baytown, Texas",1,83809,"Murders",6,5,20.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Bexar County, Texas",1,438152,"Murders",6,13,-53.85%,"Jan - Jul 2025",2025-12-16 15:08:46 EST
"Brazoria County, Texas",1,132229,"Murders",6,3,100.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Champaign, Illinois",1,89687,"Murders",6,3,100.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Corona, California",1,160590,"Murders",6,1,500.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Decatur, Illinois",1,68301,"Murders",6,5,20.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Denton, Texas",1,155215,"Murders",6,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"El Cajon, California",1,103569,"Murders",6,2,200.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Fort Bend County, Texas",1,578695,"Murders",6,15,-60.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Galveston, Texas",1,52810,"Murders",6,3,100.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Garland, Texas",1,240051,"Murders",6,10,-40.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Georgetown, Texas",1,87871,"Murders",6,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Jacksonville, North Carolina",1,69340,"Murders",6,2,200.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Lakewood, Colorado",1,156065,"Murders",6,3,100.00%,"Jan - Aug 2025",2025-12-16 15:08:46 EST
"Laredo, Texas",1,256542,"Murders",6,5,20.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Lewisville, Texas",1,133694,"Murders",6,4,50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Madera, California",1,68862,"Murders",6,1,500.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
