agency_full,population,Percent_Change,YTD_Range,Last Updated
"Boulder, Colorado",104232,NaN%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Bridgeport, Connecticut",148483,-72.73%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Burlington, North Carolina",60156,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Canton Township, Michigan",98915,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Chula Vista, California",280748,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Clovis, California",126552,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Denton County, Texas",160587,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Erie, Pennsylvania",92920,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Escondido, California",149837,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Fall River, Massachusetts",93879,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Forsyth County, Georgia",267417,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Fort Collins, Colorado",168886,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Frisco, Texas",228527,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Grand Prairie, Texas",205487,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Hall County, Georgia",148922,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Hammond, Indiana",75990,50.00%,Jan - Feb 2025,2025-12-16 15:08:46 EST
"Henrico County, Virginia",334046,-81.25%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Henry County, Georgia",172407,-25.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
"Johns Creek, Georgia",82646,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Jonesboro, Arkansas",80395,0.00%,Jan - Jul 2025,2025-12-16 15:08:46 EST
"Kalamazoo County, Michigan",108458,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Kannapolis, North Carolina",56479,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Lafayette, Louisiana",121361,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Lexington County, South Carolina",232613,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Livingston Parish, Louisiana",134038,-57.14%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Loudoun County, Virginia",378299,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Lynn, Massachusetts",101144,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Madison, Wisconsin",274234,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Odessa, Texas",111922,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Owensboro, Kentucky",59937,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Oxnard, California",199508,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Parker County, Texas",114776,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Pasadena, Texas",145850,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Pawtucket, Rhode Island",75100,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Pharr, Texas",80359,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Rapid City, South Dakota",80850,-40.00%,Jan - Jul 2025,2025-12-16 15:08:46 EST
"Rock Hill, South Carolina",75681,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Royal Oak, Michigan",57233,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Salem, Oregon",178276,-50.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
"San Marcos, Texas",71413,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Smith County, Texas",111489,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Sonoma County, California",131522,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Southfield, Michigan",74960,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Sparks, Nevada",109403,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"St Charles, Missouri",71408,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Taylor, Michigan",61781,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Tulare County, California",135511,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Walnut Creek, California",68441,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Waterloo, Iowa",66211,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Westminster, Colorado",113660,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Wichita Falls, Texas",102740,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Adams County, Colorado",100798,-50.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Alameda County, California",148466,-75.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Alhambra, California",79087,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Allentown, Pennsylvania",124782,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Asheville, North Carolina",93471,-77.78%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Baldwin Park, California",68230,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Barnstable, Massachusetts",50034,100.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
"Battle Creek, Michigan",60969,-60.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Beaumont, California",57819,NaN%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Bellingham, Washington",94968,-60.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Boise, Idaho",236949,100.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Bossier City, Louisiana",62602,-71.43%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Bowling Green, Kentucky",76194,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Broken Arrow, Oklahoma",119959,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Brookhaven, Georgia",58507,-50.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Brownsville, Texas",190590,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Burnsville, Minnesota",63650,-60.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Cheyenne, Wyoming",64307,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Chicopee, Massachusetts",55043,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Citrus Heights, California",85894,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Clackamas County, Oregon",243311,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Commerce City, Colorado",67851,-60.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Concord, North Carolina",111915,-60.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Council Bluffs, Iowa",62214,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Dearborn Heights, Michigan",61420,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Dearborn, Michigan",106747,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Des Moines, Iowa",209658,-77.78%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Douglas County, Colorado",219477,-33.33%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Eau Claire, Wisconsin",69859,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Edmond, Oklahoma",97063,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"El Dorado County, California",162436,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"El Monte, California",103463,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Elkhart, Indiana",53773,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Enid, Oklahoma",50168,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Eugene, Oregon",178191,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Fayetteville, Arkansas",101624,-75.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Folsom, California",84559,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Franklin, Tennessee",88315,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Goodyear, Arizona",109929,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Green Bay, Wisconsin",105521,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Greenville, South Carolina",72961,-71.43%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Hamilton Township, New Jersey",120098,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Hillsboro, Oregon",107459,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Iowa City, Iowa",75396,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Irving, Texas",255203,-88.89%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Kent County, Michigan",267237,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Knox County, Tennessee",304331,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Kokomo, Indiana",59720,0.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
"La Mesa, California",60008,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Lansing, Michigan",112529,-33.33%,Jan - Apr 2025,2025-12-16 15:08:46 EST
"Lawrence, Massachusetts",87806,-71.43%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"League City, Texas",115791,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Leander, Texas",82228,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Little Elm, Texas",59954,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Manchester, New Hampshire",114963,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Medford, Oregon",85352,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Midland, Texas",135253,-71.43%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Mission Viejo, California",90944,NaN%,Jan - Aug 2025,2025-12-16 15:08:46 EST
"Missouri City, Texas",77560,100.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Murfreesboro, Tennessee",166916,-60.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Napa, California",77956,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"New Britain, Connecticut",74609,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"New Rochelle, New York",83357,NaN%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Ogden, Utah",86593,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Onslow County, North Carolina",125993,-60.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Paulding County, Georgia",162740,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Pearland, Texas",127433,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Pflugerville, Texas",65599,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Plano, Texas",291140,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
